STATE,CITY,COUNTY_LOCATION_DEFINED,BEG_DATE,END_DATE,RATE
UT,All Other Utah Cities,,7/1/2015,6/30/2016,$70.00 
UT,All Other Utah Cities,,7/1/2016,6/30/2017,$70.00 
UT,All Other Utah Cities,,7/1/2017,6/30/2018,$70.00 
UT,All Other Utah Cities,,7/1/2018,6/30/2019,$70.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2014,9/30/2015,$83.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2015,9/30/2016,$89.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2016,9/30/2017,$91.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2017,9/30/2018,$93.00 
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,10/1/2018,9/30/2019,$94.00 
AL,Birmingham,Jefferson / Shelby,10/1/2015,9/30/2016,$94.00 
AL,Gulf Shores,Baldwin,10/1/2015,2/29/2016,$101.00 
AL,Gulf Shores,Baldwin,3/1/2015,7/31/2016,$130.00 
AL,Gulf Shores,Baldwin,8/1/2015,9/30/2016,$101.00 
AL,Mobile,Mobile,10/1/2015,12/31/2015,$89.00 
AL,Mobile,Mobile,1/1/2016,2/29/2016,$99.00 
AL,Mobile,Mobile,3/1/2015,9/30/2016,$89.00 
AR,Hot Springs,Garland,10/1/2015,9/30/2016,$101.00 
AR,Little Rock,Pulaski,10/1/2015,9/30/2016,$91.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,10/1/2015,10/31/2015,$124.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,10/1/2015,10/31/2015,$124.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,11/1/2015,2/29/2016,$89.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,11/1/2015,2/29/2016,$89.00 
AZ,Flagstaff,Coconino / Yavapai less the city of Sedona,3/1/2015,9/30/2016,$124.00 
AZ,Grand Canyon,Coconino / Yavapai less the city of Sedona,3/1/2015,9/30/2016,$124.00 
AZ,Kayenta,Navajo,10/1/2015,9/30/2016,$112.00 
AZ,Phoenix,Maricopa,10/1/2015,12/31/2015,$113.00 
AZ,Scottsdale,Maricopa,10/1/2015,12/31/2015,$113.00 
AZ,Phoenix,Maricopa,1/1/2016,3/31/2016,$161.00 
AZ,Scottsdale,Maricopa,1/1/2016,3/31/2016,$161.00 
AZ,Phoenix,Maricopa,4/1/2016,5/31/2016,$120.00 
AZ,Scottsdale,Maricopa,4/1/2016,5/31/2016,$120.00 
AZ,Phoenix,Maricopa,6/1/2016,8/31/2016,$89.00 
AZ,Scottsdale,Maricopa,6/1/2016,8/31/2016,$89.00 
AZ,Phoenix,Maricopa,9/1/2016,9/30/2016,$113.00 
AZ,Scottsdale,Maricopa,9/1/2016,9/30/2016,$113.00 
AZ,Sedona,City Limits of Sedona,10/1/2015,2/29/2016,$134.00 
AZ,Sedona,City Limits of Sedona,3/1/2015,8/31/2016,$141.00 
AZ,Sedona,City Limits of Sedona,9/1/2016,9/30/2016,$134.00 
AZ,Tucson,Pima,10/1/2015,12/31/2015,$89.00 
AZ,Tucson,Pima,1/1/2016,2/29/2016,$106.00 
AZ,Tucson,Pima,3/1/2015,9/30/2016,$89.00 
CA,Antioch,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Brentwood,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Concord,Contra Costa,10/1/2015,9/30/2016,$132.00 
CA,Bakersfield,Kern,10/1/2015,9/30/2016,$95.00 
CA,Ridgecrest,Kern,10/1/2015,9/30/2016,$95.00 
CA,Barstow,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Ontario,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Victorville,San Bernardino,10/1/2015,9/30/2016,$96.00 
CA,Death Valley,Inyo ,10/1/2015,9/30/2016,$102.00 
CA,Eureka,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,Arcata,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,McKinleyville,Humboldt,10/1/2015,5/31/2016,$94.00 
CA,Eureka,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,Arcata,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,McKinleyville,Humboldt,6/1/2016,8/31/2016,$112.00 
CA,Eureka,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,Arcata,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,McKinleyville,Humboldt,9/1/2016,9/30/2016,$94.00 
CA,Fresno,Fresno,10/1/2015,9/30/2016,$92.00 
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,10/1/2015,12/31/2015,$150.00 
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,1/1/2016,3/31/2016,$157.00 
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,4/1/2016,9/30/2016,$150.00 
CA,Mammoth Lakes,Mono,10/1/2015,11/30/2015,$116.00 
CA,Mammoth Lakes,Mono,12/1/2015,2/29/2016,$159.00 
CA,Mammoth Lakes,Mono,3/1/2015,9/30/2016,$116.00 
CA,Mill Valley,Marin,10/1/2015,10/31/2015,$146.00 
CA,San Rafael,Marin,10/1/2015,10/31/2015,$146.00 
CA,Novato,Marin,10/1/2015,10/31/2015,$146.00 
CA,Mill Valley,Marin,11/1/2015,12/31/2015,$130.00 
CA,San Rafael,Marin,11/1/2015,12/31/2015,$130.00 
CA,Novato,Marin,11/1/2015,12/31/2015,$130.00 
CA,Mill Valley,Marin,1/1/2016,9/30/2016,$146.00 
CA,San Rafael,Marin,1/1/2016,9/30/2016,$146.00 
CA,Novato,Marin,1/1/2016,9/30/2016,$146.00 
CA,Monterey,Monterey,10/1/2015,6/30/2016,$134.00 
CA,Monterey,Monterey,7/1/2016,8/31/2016,$175.00 
CA,Monterey,Monterey,9/1/2016,9/30/2016,$134.00 
CA,Napa,Napa,10/1/2015,10/31/2015,$191.00 
CA,Napa,Napa,11/1/2015,4/30/2016,$149.00 
CA,Napa,Napa,5/1/2016,9/30/2016,$191.00 
CA,Oakhurst,Madera ,10/1/2015,5/31/2016,$91.00 
CA,Oakhurst,Madera ,6/1/2016,8/31/2016,$115.00 
CA,Oakhurst,Madera ,9/1/2016,9/30/2016,$91.00 
CA,Oakland,Alameda,10/1/2015,9/30/2016,$140.00 
CA,Palm Springs,Riverside,10/1/2015,5/31/2016,$123.00 
CA,Palm Springs,Riverside,6/1/2016,8/31/2016,$92.00 
CA,Palm Springs,Riverside,9/1/2016,9/30/2016,$123.00 
CA,Point Arena,Mendocino,10/1/2015,9/30/2016,$106.00 
CA,Gualala,Mendocino,10/1/2015,9/30/2016,$106.00 
CA,Redding,Shasta,10/1/2015,9/30/2016,$90.00 
CA,Sacramento,Sacramento,10/1/2015,9/30/2016,$112.00 
CA,San Diego,San Diego,10/1/2015,12/31/2015,$140.00 
CA,San Diego,San Diego,1/1/2016,7/31/2016,$153.00 
CA,San Diego,San Diego,8/1/2015,9/30/2016,$140.00 
CA,San Francisco,San Francisco,10/1/2015,9/30/2016,$250.00 
CA,San Luis Obispo,San Luis Obispo,10/1/2015,5/31/2016,$112.00 
CA,San Luis Obispo,San Luis Obispo,6/1/2016,8/31/2016,$133.00 
CA,San Luis Obispo,San Luis Obispo,9/1/2016,9/30/2016,$112.00 
CA,San Mateo,San Mateo,10/1/2015,12/31/2015,$178.00 
CA,Foster City,San Mateo,10/1/2015,12/31/2015,$178.00 
CA,Belmont,San Mateo,10/1/2015,12/31/2015,$178.00 
CA,San Mateo,San Mateo,1/1/2016,3/31/2016,$184.00 
CA,Foster City,San Mateo,1/1/2016,3/31/2016,$184.00 
CA,Belmont,San Mateo,1/1/2016,3/31/2016,$184.00 
CA,San Mateo,San Mateo,4/1/2016,9/30/2016,$178.00 
CA,Foster City,San Mateo,4/1/2016,9/30/2016,$178.00 
CA,Belmont,San Mateo,4/1/2016,9/30/2016,$178.00 
CA,Santa Barbara,Santa Barbara,10/1/2015,6/30/2016,$161.00 
CA,Santa Barbara,Santa Barbara,7/1/2016,8/31/2016,$211.00 
CA,Santa Barbara,Santa Barbara,9/1/2016,9/30/2016,$161.00 
CA,Santa Cruz,Santa Cruz,10/1/2015,5/31/2016,$129.00 
CA,Santa Cruz,Santa Cruz,6/1/2016,8/31/2016,$164.00 
CA,Santa Cruz,Santa Cruz,9/1/2016,9/30/2016,$129.00 
CA,Santa Monica ,City limits of Santa Monica,10/1/2015,5/31/2016,$217.00 
CA,Santa Monica ,City limits of Santa Monica,6/1/2016,8/31/2016,$252.00 
CA,Santa Monica ,City limits of Santa Monica,9/1/2016,9/30/2016,$217.00 
CA,Santa Rosa,Sonoma,10/1/2015,10/31/2015,$134.00 
CA,Santa Rosa,Sonoma,11/1/2015,2/29/2016,$118.00 
CA,Santa Rosa,Sonoma,3/1/2015,9/30/2016,$134.00 
CA,South Lake Tahoe,El Dorado,10/1/2015,11/30/2015,$111.00 
CA,South Lake Tahoe,El Dorado,12/1/2015,6/30/2016,$136.00 
CA,South Lake Tahoe,El Dorado,7/1/2016,8/31/2016,$162.00 
CA,South Lake Tahoe,El Dorado,9/1/2016,9/30/2016,$111.00 
CA,Stockton ,San Joaquin,10/1/2015,9/30/2016,$97.00 
CA,Sunnyvale,Santa Clara,10/1/2015,3/31/2016,$187.00 
CA,Palo Alto,Santa Clara,10/1/2015,3/31/2016,$187.00 
CA,San Jose,Santa Clara,10/1/2015,3/31/2016,$187.00 
CA,Sunnyvale,Santa Clara,4/1/2016,5/31/2016,$175.00 
CA,Palo Alto,Santa Clara,4/1/2016,5/31/2016,$175.00 
CA,San Jose,Santa Clara,4/1/2016,5/31/2016,$175.00 
CA,Sunnyvale,Santa Clara,6/1/2016,9/30/2016,$187.00 
CA,Palo Alto,Santa Clara,6/1/2016,9/30/2016,$187.00 
CA,San Jose,Santa Clara,6/1/2016,9/30/2016,$187.00 
CA,Tahoe City,Placer,10/1/2015,9/30/2016,$93.00 
CA,Truckee,Nevada ,10/1/2015,9/30/2016,$120.00 
CA,Visalia,Tulare / Kings,10/1/2015,9/30/2016,$90.00 
CA,Lemoore,Tulare / Kings,10/1/2015,9/30/2016,$90.00 
CA,West Sacramento,Yolo,10/1/2015,9/30/2016,$113.00 
CA,Davis,Yolo,10/1/2015,9/30/2016,$113.00 
CA,Yosemite National Park,Mariposa,10/1/2015,12/31/2015,$118.00 
CA,Yosemite National Park,Mariposa,1/1/2016,5/31/2016,$107.00 
CA,Yosemite National Park,Mariposa,6/1/2016,8/31/2016,$132.00 
CA,Yosemite National Park,Mariposa,9/1/2016,9/30/2016,$118.00 
CO,Aspen,Pitkin,10/1/2015,11/30/2015,$115.00 
CO,Aspen,Pitkin,12/1/2015,3/31/2016,$266.00 
CO,Aspen,Pitkin,4/1/2016,5/31/2016,$114.00 
CO,Aspen,Pitkin,6/1/2016,8/31/2016,$193.00 
CO,Aspen,Pitkin,9/1/2016,9/30/2016,$115.00 
CO,Boulder,Boulder / Broomfield,10/1/2015,9/30/2016,$125.00 
CO,Broomfield,Boulder / Broomfield,10/1/2015,9/30/2016,$125.00 
CO,Colorado Springs,El Paso,10/1/2015,9/30/2016,$91.00 
CO,Cortez,Montezuma,10/1/2015,5/31/2016,$91.00 
CO,Cortez,Montezuma,6/1/2016,9/30/2016,$114.00 
CO,Crested Butte,Gunnison,10/1/2015,11/30/2015,$108.00 
CO,Gunnison,Gunnison,10/1/2015,11/30/2015,$108.00 
CO,Crested Butte,Gunnison,12/1/2015,3/31/2016,$154.00 
CO,Gunnison,Gunnison,12/1/2015,3/31/2016,$154.00 
CO,Crested Butte,Gunnison,4/1/2016,9/30/2016,$108.00 
CO,Gunnison,Gunnison,4/1/2016,9/30/2016,$108.00 
CO,Denver,Denver / Adams / Arapahoe / Jefferson,10/1/2015,9/30/2016,$172.00 
CO,Aurora,Denver / Adams / Arapahoe / Jefferson,10/1/2015,9/30/2016,$172.00 
CO,Douglas ,Douglas,10/1/2015,9/30/2016,$116.00 
CO,Durango,La Plata,10/1/2015,5/31/2016,$100.00 
CO,Durango,La Plata,6/1/2016,9/30/2016,$146.00 
CO,Fort Collins,Larimer,10/1/2015,9/30/2016,$109.00 
CO,Loveland,Larimer,10/1/2015,9/30/2016,$109.00 
CO,Grand Lake,Grand,10/1/2015,11/30/2015,$120.00 
CO,Grand Lake,Grand,12/1/2015,3/31/2016,$196.00 
CO,Grand Lake,Grand,4/1/2016,5/31/2016,$104.00 
CO,Grand Lake,Grand,6/1/2016,9/30/2016,$120.00 
CO,Montrose,Montrose,10/1/2015,5/31/2016,$89.00 
CO,Montrose,Montrose,6/1/2016,8/31/2016,$94.00 
CO,Montrose,Montrose,9/1/2016,9/30/2016,$89.00 
CO,Silverthorne,Summit,10/1/2015,11/30/2015,$106.00 
CO,Breckenridge,Summit,10/1/2015,11/30/2015,$106.00 
CO,Silverthorne,Summit,12/1/2015,3/31/2016,$167.00 
CO,Breckenridge,Summit,12/1/2015,3/31/2016,$167.00 
CO,Silverthorne,Summit,4/1/2016,5/31/2016,$97.00 
CO,Breckenridge,Summit,4/1/2016,5/31/2016,$97.00 
CO,Silverthorne,Summit,6/1/2016,9/30/2016,$106.00 
CO,Breckenridge,Summit,6/1/2016,9/30/2016,$106.00 
CO,Steamboat Springs,Routt,10/1/2015,11/30/2015,$104.00 
CO,Steamboat Springs,Routt,12/1/2015,3/31/2016,$178.00 
CO,Steamboat Springs,Routt,4/1/2016,5/31/2016,$89.00 
CO,Steamboat Springs,Routt,6/1/2016,9/30/2016,$104.00 
CO,Telluride,San Miguel,10/1/2015,11/30/2015,$134.00 
CO,Telluride,San Miguel,12/1/2015,3/31/2016,$354.00 
CO,Telluride,San Miguel,4/1/2016,5/31/2016,$142.00 
CO,Telluride,San Miguel,6/1/2016,8/31/2016,$187.00 
CO,Telluride,San Miguel,9/1/2016,9/30/2016,$134.00 
CO,Vail,Eagle,10/1/2015,11/30/2015,$130.00 
CO,Vail,Eagle,12/1/2015,3/31/2016,$350.00 
CO,Vail,Eagle,4/1/2016,6/30/2016,$144.00 
CO,Vail,Eagle,7/1/2016,8/31/2016,$176.00 
CO,Vail,Eagle,9/1/2016,9/30/2016,$130.00 
CT,Bridgeport,Fairfield,10/1/2015,9/30/2016,$129.00 
CT,Danbury,Fairfield,10/1/2015,9/30/2016,$129.00 
CT,Cromwell,Middlesex,10/1/2015,9/30/2016,$93.00 
CT,Old Saybrook,Middlesex,10/1/2015,9/30/2016,$93.00 
CT,Hartford,Hartford,10/1/2015,9/30/2016,$117.00 
CT,New Haven,New Haven,10/1/2015,9/30/2016,$96.00 
CT,New London,New London,10/1/2015,9/30/2016,$98.00 
CT,Groton,New London,10/1/2015,9/30/2016,$98.00 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",10/1/2015,10/31/2015,$222.00 
VA,Alexandria  ,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",10/1/2015,10/31/2015,$222.00 
VA,Falls Church,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",10/1/2015,10/31/2015,$222.00 
VA,Fairfax,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",10/1/2015,10/31/2015,$222.00 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",11/1/2015,2/29/2016,$179.00 
VA,Alexandria  ,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",11/1/2015,2/29/2016,$179.00 
VA,Falls Church,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",11/1/2015,2/29/2016,$179.00 
VA,Fairfax,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",11/1/2015,2/29/2016,$179.00 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",3/1/2015,6/30/2016,$226.00 
VA,Alexandria  ,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",3/1/2015,6/30/2016,$226.00 
VA,Falls Church,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",3/1/2015,6/30/2016,$226.00 
VA,Fairfax,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",3/1/2015,6/30/2016,$226.00 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",7/1/2016,8/31/2016,$174.00 
VA,Alexandria  ,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",7/1/2016,8/31/2016,$174.00 
VA,Falls Church,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",7/1/2016,8/31/2016,$174.00 
VA,Fairfax,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",7/1/2016,8/31/2016,$174.00 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",9/1/2016,9/30/2016,$222.00 
VA,Alexandria  ,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",9/1/2016,9/30/2016,$222.00 
VA,Falls Church,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",9/1/2016,9/30/2016,$222.00 
VA,Fairfax,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",9/1/2016,9/30/2016,$222.00 
DE,Dover,Kent,10/1/2015,4/30/2016,$89.00 
DE,Dover,Kent,5/1/2016,9/30/2016,$104.00 
DE,Lewes,Sussex,10/1/2015,6/30/2016,$92.00 
DE,Lewes,Sussex,7/1/2016,8/31/2016,$148.00 
DE,Lewes,Sussex,9/1/2016,9/30/2016,$92.00 
DE,Wilmington,New Castle,10/1/2015,9/30/2016,$122.00 
FL,Boca Raton,Palm Beach / Hendry,10/1/2015,12/31/2015,$101.00 
FL,Delray Beach,Palm Beach / Hendry,10/1/2015,12/31/2015,$101.00 
FL,Jupiter,Palm Beach / Hendry,10/1/2015,12/31/2015,$101.00 
FL,Boca Raton,Palm Beach / Hendry,1/1/2016,4/30/2016,$175.00 
FL,Delray Beach,Palm Beach / Hendry,1/1/2016,4/30/2016,$175.00 
FL,Jupiter,Palm Beach / Hendry,1/1/2016,4/30/2016,$175.00 
FL,Boca Raton,Palm Beach / Hendry,5/1/2016,9/30/2016,$101.00 
FL,Delray Beach,Palm Beach / Hendry,5/1/2016,9/30/2016,$101.00 
FL,Jupiter,Palm Beach / Hendry,5/1/2016,9/30/2016,$101.00 
FL,Bradenton,Manatee,10/1/2015,1/31/2016,$89.00 
FL,Bradenton,Manatee,2/1/2016,3/31/2016,$142.00 
FL,Bradenton,Manatee,4/1/2016,9/30/2016,$89.00 
FL,Cocoa Beach,Brevard,10/1/2015,1/31/2016,$107.00 
FL,Cocoa Beach,Brevard,2/1/2016,3/31/2016,$130.00 
FL,Cocoa Beach,Brevard,4/1/2016,9/30/2016,$107.00 
FL,Daytona Beach,Volusia,10/1/2015,1/31/2016,$89.00 
FL,Daytona Beach,Volusia,2/1/2016,3/31/2016,$118.00 
FL,Daytona Beach,Volusia,4/1/2016,7/31/2016,$97.00 
FL,Daytona Beach,Volusia,8/1/2015,9/30/2016,$89.00 
FL,Fort Lauderdale,Broward,10/1/2015,12/31/2015,$141.00 
FL,Fort Lauderdale,Broward,1/1/2016,3/31/2016,$199.00 
FL,Fort Lauderdale,Broward,4/1/2016,5/31/2016,$144.00 
FL,Fort Lauderdale,Broward,6/1/2016,9/30/2016,$110.00 
FL,Fort Myers,Lee,10/1/2015,12/31/2015,$101.00 
FL,Fort Myers,Lee,1/1/2016,4/30/2016,$165.00 
FL,Fort Myers,Lee,5/1/2016,9/30/2016,$101.00 
FL,Fort Walton Beach,Okaloosa / Walton,10/1/2015,10/31/2015,$132.00 
FL,De Funiak Springs,Okaloosa / Walton,10/1/2015,10/31/2015,$132.00 
FL,Fort Walton Beach,Okaloosa / Walton,11/1/2015,2/29/2016,$91.00 
FL,De Funiak Springs,Okaloosa / Walton,11/1/2015,2/29/2016,$91.00 
FL,Fort Walton Beach,Okaloosa / Walton,3/1/2015,5/31/2016,$148.00 
FL,De Funiak Springs,Okaloosa / Walton,3/1/2015,5/31/2016,$148.00 
FL,Fort Walton Beach,Okaloosa / Walton,6/1/2016,7/31/2016,$203.00 
FL,De Funiak Springs,Okaloosa / Walton,6/1/2016,7/31/2016,$203.00 
FL,Fort Walton Beach,Okaloosa / Walton,8/1/2015,9/30/2016,$132.00 
FL,De Funiak Springs,Okaloosa / Walton,8/1/2015,9/30/2016,$132.00 
FL,Gainesville,Alachua,10/1/2015,9/30/2016,$98.00 
FL,Gulf Breeze,Santa Rosa,10/1/2015,2/29/2016,$89.00 
FL,Gulf Breeze,Santa Rosa,3/1/2015,7/31/2016,$105.00 
FL,Gulf Breeze,Santa Rosa,8/1/2015,9/30/2016,$89.00 
FL,Key West,Monroe,10/1/2015,11/30/2015,$200.00 
FL,Key West,Monroe,12/1/2015,1/31/2016,$265.00 
FL,Key West,Monroe,2/1/2016,4/30/2016,$307.00 
FL,Key West,Monroe,5/1/2016,9/30/2016,$194.00 
FL,Miami,Miami-Dade,10/1/2015,11/30/2015,$148.00 
FL,Miami,Miami-Dade,12/1/2015,3/31/2016,$212.00 
FL,Miami,Miami-Dade,4/1/2016,5/31/2016,$160.00 
FL,Miami,Miami-Dade,6/1/2016,9/30/2016,$124.00 
FL,Naples,Collier,10/1/2015,12/31/2015,$145.00 
FL,Naples,Collier,1/1/2016,4/30/2016,$236.00 
FL,Naples,Collier,5/1/2016,9/30/2016,$125.00 
FL,Orlando,Orange,10/1/2015,3/31/2016,$127.00 
FL,Orlando,Orange,4/1/2016,9/30/2016,$110.00 
FL,Panama City,Bay,10/1/2015,2/29/2016,$89.00 
FL,Panama City,Bay,3/1/2015,5/31/2016,$120.00 
FL,Panama City,Bay,6/1/2016,7/31/2016,$131.00 
FL,Panama City,Bay,8/1/2015,9/30/2016,$89.00 
FL,Pensacola ,Escambia,10/1/2015,2/29/2016,$100.00 
FL,Pensacola ,Escambia,3/1/2015,5/31/2016,$114.00 
FL,Pensacola ,Escambia,6/1/2016,7/31/2016,$140.00 
FL,Pensacola ,Escambia,8/1/2015,9/30/2016,$100.00 
FL,Punta Gorda,Charlotte,10/1/2015,1/31/2016,$89.00 
FL,Punta Gorda,Charlotte,2/1/2016,3/31/2016,$137.00 
FL,Punta Gorda,Charlotte,4/1/2016,9/30/2016,$89.00 
FL,Sarasota,Sarasota,10/1/2015,11/30/2015,$98.00 
FL,Sarasota,Sarasota,12/1/2015,4/30/2016,$141.00 
FL,Sarasota,Sarasota,5/1/2016,9/30/2016,$98.00 
FL,Sebring,Highlands,10/1/2015,9/30/2016,$92.00 
FL,St. Augustine,St. Johns,10/1/2015,9/30/2016,$118.00 
FL,Stuart,Martin,10/1/2015,1/31/2016,$91.00 
FL,Stuart,Martin,2/1/2016,3/31/2016,$135.00 
FL,Stuart,Martin,4/1/2016,9/30/2016,$91.00 
FL,Tallahassee,Leon,10/1/2015,9/30/2016,$98.00 
FL,Tampa,Pinellas / Hillsborough,10/1/2015,12/31/2015,$106.00 
FL,St. Petersburg,Pinellas / Hillsborough,10/1/2015,12/31/2015,$106.00 
FL,Tampa,Pinellas / Hillsborough,1/1/2016,3/31/2016,$133.00 
FL,St. Petersburg,Pinellas / Hillsborough,1/1/2016,3/31/2016,$133.00 
FL,Tampa,Pinellas / Hillsborough,4/1/2016,9/30/2016,$106.00 
FL,St. Petersburg,Pinellas / Hillsborough,4/1/2016,9/30/2016,$106.00 
FL,Vero Beach,Indian River,10/1/2015,11/30/2015,$125.00 
FL,Vero Beach,Indian River,12/1/2015,4/30/2016,$169.00 
FL,Vero Beach,Indian River,5/1/2016,9/30/2016,$125.00 
GA,Athens,Clarke,10/1/2015,9/30/2016,$93.00 
GA,Atlanta,Fulton / Dekalb / Cobb,10/1/2015,9/30/2016,$138.00 
GA,Augusta,Richmond,10/1/2015,9/30/2016,$97.00 
GA,Jekyll Island,Glynn,10/1/2015,3/31/2016,$118.00 
GA,Brunswick,Glynn,10/1/2015,3/31/2016,$118.00 
GA,Jekyll Island,Glynn,4/1/2016,7/31/2016,$157.00 
GA,Brunswick,Glynn,4/1/2016,7/31/2016,$157.00 
GA,Jekyll Island,Glynn,8/1/2015,9/30/2016,$118.00 
GA,Brunswick,Glynn,8/1/2015,9/30/2016,$118.00 
GA,Savannah,Chatham,10/1/2015,2/29/2016,$108.00 
GA,Savannah,Chatham,3/1/2015,4/30/2016,$123.00 
GA,Savannah,Chatham,5/1/2016,9/30/2016,$108.00 
IA,Cedar Rapids,Linn,10/1/2015,9/30/2016,$91.00 
IA,Dallas,Dallas,10/1/2015,9/30/2016,$117.00 
IA,Des Moines,Polk,10/1/2015,9/30/2016,$101.00 
ID,Bonner's Ferry,Bonner / Boundary / Shoshone,10/1/2015,5/31/2016,$89.00 
ID,Sandpoint,Bonner / Boundary / Shoshone,10/1/2015,5/31/2016,$89.00 
ID,Bonner's Ferry,Bonner / Boundary / Shoshone,6/1/2016,9/30/2016,$111.00 
ID,Sandpoint,Bonner / Boundary / Shoshone,6/1/2016,9/30/2016,$111.00 
ID,Coeur d'Alene,Kootenai,10/1/2015,5/31/2016,$89.00 
ID,Coeur d'Alene,Kootenai,6/1/2016,8/31/2016,$131.00 
ID,Coeur d'Alene,Kootenai,9/1/2016,9/30/2016,$89.00 
ID,Sun Valley,Blaine / Elmore,10/1/2015,9/30/2016,$104.00 
ID,Ketchum,Blaine / Elmore,10/1/2015,9/30/2016,$104.00 
IL,Bolingbrook,Will,10/1/2015,9/30/2016,$94.00 
IL,Romeoville,Will,10/1/2015,9/30/2016,$94.00 
IL,Lemont,Will,10/1/2015,9/30/2016,$94.00 
IL,Chicago,Cook / Lake,10/1/2015,11/30/2015,$212.00 
IL,Chicago,Cook / Lake,12/1/2015,2/29/2016,$141.00 
IL,Chicago,Cook / Lake,3/1/2015,4/30/2016,$160.00 
